project,desc,category,priority,assign to
Smart Jewel,out of memory in software (as per whatsapp),Support,high,Sajeda
SJE Plus,software update script,Support,high,krishna
Smart Jewel,invoice calculation summery issue,Report,Low,Heta
SJE Plus,format sat ,Report,Low,Jagruti
SJE Plus,layout changes and recovery issue,Support,high,Sajeda
Smart Jewel,quotation formula issue,Report,Low,Jagruti
Smart Jewel,gold loss issue,Support,high,sarika
Smart Jewel,repairing peace net weight less issue,Support,high,krishna
SJE Plus,material memo given issue,Support,high,jaytur
SJE Plus,gold purity weight issue,Support,high,Heta
SJE Plus,silver item costing add,Support,high,sarika
Smart Jewel,tax invoice address and delivery address change,Report,Low,yogita
SJE Plus,memory full,Support,high,krishna
SJE Plus,book add,Support,high,krishna
SJE Plus,labour invoice gst issue,Report,Med,Heta
SJE Plus,stock report not open ,Support,high,Sajeda
SJE Plus,stock reconselation,Support,high,Sajeda
SJE Plus,balance sheet issue,Support,high,shubham
SJE Plus,tag problem,Support,high,Janvi
Smart Jewel,sms update issue,Support,high,Sajeda
SJE Plus,software close,Support,high,yogita
SJE Plus,gold rate issue,Support,high,sarika
SJE Plus,client master quality add,Support,high,Heta
SJE Plus,quotation print issue,Report,Low,drashti
SJE Plus,item labour  amount issue,Support,V.Urgent,Sajeda
Smart Jewel,conversion error,Support,high,sarika
Smart Jewel,report convert issue,Report,Low,yogita
Smart Jewel,software not connect,Support,high,yogita
SJE Plus,Node Installation,Support,high,yogita
SJE Plus,quotation order price issue,Support,high,krishna
Smart Jewel,diamond quality change isuse,Support,high,gaurav
SJE Plus,logging issue,Support,high,Sajeda
SJE Plus,design report changes,Report,Low,sarika
Smart Jewel,color stone entry save issue,Support,high,Sajeda
SJE Plus,software close,Support,high,shubham
Smart Jewel,tax invoice certification charge 2 time show,Report,Low,drashti
SJE Plus,material 18 carat issue,Support,high,Sajeda
SJE Plus,labour invoice issue,Report,Low,Heta
SJE Plus,Order Date Changes Issue ,New Req,Med,sarika
SJE Plus,software update ,Support,high,yogita
Smart Jewel,card printing issue ,Report,Low,Heta
SJE Plus,order image issue,Support,high,yogita
SJE Plus,software hang,Support,high,shubham
Smart Jewel,fg purchase issue,Support,high,prakash
SJE Plus,tag problem,Support,high,sarika
SJE Plus,order entry issue,Support,high,jaytur
Smart Jewel,ledger party name not show,Support,high,Jagruti
Smart Jewel,2 new Report create,Report,Low,drashti
Smart Jewel,entry close,Support,high,yogita
Smart Jewel,certificate purity not show ,Support,high,krishna
Smart Jewel,labour bill issue,Report,Low,Jagruti
SJE Plus,inward amount issue,Support,high,shubham
SJE Plus,printer sat up,Support,high,Heta
Smart Jewel,style master layout counting issue ,Support,high,Sajeda
Smart Jewel,tag issue,Report,Low,Jagruti
Smart Jewel,material transfer party name not show in print ,Report,Low,drashti
SJE Plus,purchase inward issue,Support,high,vipul
SJE Plus,ask about bag loss ,Support,high,vipul
SJE Plus,IPad Installtion,Installation,V.Urgent,yogita
Smart Jewel,sales return gst not show in bill,Report,Med,drashti
Smart Jewel,material stock as on - issue,Support,high,Sajeda
Smart Jewel,bag finalizes issue,Support,high,gaurav
Smart Jewel,data suspect,Support,high,shubham
Smart Jewel,software close,Support,V.Urgent,Jagruti
Smart Jewel,ledger with stock issue,Support,high,gaurav
Smart Jewel,printer rights issue,Report,Low,drashti
SJE Plus,entry level issue,Support,high,shubham
SJE Plus,memo color stone issue,Support,high,drashti
SJE Plus,branch file export issue,Support,high,prakash
SJE Plus,report problem,Report,Low,yogita
Smart Jewel,bill issue,Report,Low,Heta
Smart Jewel,style master image menu not show,Support,V.Urgent,shubham
Smart Jewel,design report changes issue,Report,Low,Heta
SJE Plus,entry company selection issue,Support,high,yogita
Smart Jewel,stock valuation stock - issue,Support,high,krishna
Smart Jewel,user rights issue,Support,high,yogita
Smart Jewel,report binding issue ,Report,Low,drashti
Smart Jewel,diamond closing match issue,Support,high,krishna
Smart Jewel,finish good issue and master metal group add issue,Support,high,Heta
Smart Jewel,bag marge issue and copy order issue,Support,high,gaurav
Smart Jewel,ledger with stock issue,Support,high,Sajeda
SJE Plus,entry delete check issue,Support,high,Sajeda
SJE Plus,transaction delete issue,Support,high,krishna
Smart Jewel,Rate Formula Change,Support,high,Heta
Smart Jewel,item code issue in report,Report,Low,Heta
Smart Jewel,ask about how to do bag fg,Support,high,vipul
SJE Plus,neckless color stone stock issue,Support,high,Sajeda
SJE Plus,report error,Report,Low,Heta
Smart Jewel,sale return issue,Support,high,krishna
Smart Jewel,party wise rate set in invoice,Report,Low,drashti
SJE Plus,Style Master Rate Or Making Update Last Inward Issue As Per Mail,New Req,Med,sarika
Smart Jewel,software update,Support,high,yogita
Smart Jewel,software update ,Support,high,yogita
Smart Jewel,software close,Support,high,yogita
SJE Plus,diamond coding create issue,Support,high,krishna
Smart Jewel,gross weight formula add,Report,Low,krishna
Smart Jewel,cost sheet handle charge issue,Support,high,Sajeda
SJE Plus,memo process issue,Support,high,krishna
Smart Jewel,software close,Support,V.Urgent,yogita
SJE Plus,bag generate no.issue,Support,high,sarika
Smart Jewel,sale return issue,Support,high,Sajeda
Smart Jewel,software close,Support,high,yogita
SJE Plus,rate changes issue,Support,high,krishna
Smart Jewel,printer set issue,Report,Low,jaytur
Smart Jewel,metal not show in invoice,Report,Low,drashti
Smart Jewel,tax invoice preview issue,Report,Low,Heta
Smart Jewel,software slow and diamond quality add ,Support,high,gaurav
Smart Jewel,tag and bill 10% wastage add issue,Report,Low,drashti
SJE Plus,material stock as on stock issue,Support,high,ashit
Smart Jewel,certificate total mistake in bill ,Support,high,shubham
Smart Jewel,jewels code search in bill issue ,Support,high,shubham
SJE Plus,style number changes,Support,high,sarika
SJE Plus,software Instal,Support,V.Urgent,yogita
SJE Plus,metal conversion problem,Support,V.Urgent,jaytur
Smart Jewel,tag color changes issue and ledger labor issue,Report,Low,Jagruti
Smart Jewel,job card changes,Report,Low,drashti
Smart Jewel,tag print issue ,Support,V.Urgent,yogita
Smart Jewel,software update ,Support,high,krishna
Smart Jewel,self inward application not found error,Support,high,krishna
Smart Jewel,software update,Support,high,krishna
SJE Plus,back up restore issue ,Support,V.Urgent,yogita
SJE Plus,sql server installation,Support,high,yogita
Smart Jewel,sub report gst not show,Report,Med,Jagruti
Smart Jewel,Wax weight setting issue,Support,V.Urgent,krishna
SJE Plus,script run and tag changes,Support,high,krishna
Smart Jewel,tag print issue,Support,high,Krupa
SJE Plus,total difference issue in software,Support,high,krishna
SJE Plus,entry save error,Support,V.Urgent,yogita
Smart Jewel,bag order issue,Support,high,yogita
SJE Plus,ledger issue,Support,high,krishna
SJE Plus,inward issue,Support,high,jaytur
SJE Plus,bill problem,Report,Low,Heta
SJE Plus,report changes,Report,Low,Heta
SJE Plus,diamond purchase quality code active,Support,high,krishna
Smart Jewel,book auto manual ,Support,high,ashit
SJE Plus,As per mail new report create (DP Format),Report,Low,drashti
Smart Jewel,As per mail New format create in smart jewel erp,Report,Low,drashti
SJE Plus,item memo issue,Support,high,sarika
SJE Plus,tag format sat,Report,Low,drashti
SJE Plus,self inward issue and book make,Support,high,ashit
Smart Jewel,sale report quotation issue,Report,Low,Jagruti
SJE Plus,work name none issue,Support,high,prakash
Smart Jewel,cost sheet handle charge issue,Support,high,krishna
Smart Jewel,invoice loss add ,Support,high,shubham
Smart Jewel,Old software sale return issue,Support,high,krishna
SJE Plus,book default issue,Support,high,sarika
Smart Jewel,brokerage list,Support,high,vipul
SJE Plus,file upload error,Support,V.Urgent,shubham
SJE Plus,Jewellery Transaction Report Show,Support,high,Heta
SJE Plus,report image issue,Report,Low,drashti
SJE Plus,stock problem,Support,high,sarika
Smart Jewel,report changes,Report,Low,drashti
SJE Plus,software slow,Support,high,vipul
Smart Jewel,software update,Support,high,yogita
Smart Jewel,software close,Support,high,yogita
SJE Plus,mail not sent ,Support,high,Sajeda
SJE Plus,space issue,Support,V.Urgent,shubham
SJE Plus,software update,Support,high,yogita
Smart Jewel,new year generate ,Support,high,yogita
SJE Plus,Joy Allukas Wt Range Create And Set Rate In Ratechart,New Req,Med,sarika
Smart Jewel,sales parson name add issue ,Support,high,krishna
Smart Jewel,bag finish out issue,Support,high,ashit
Smart Jewel,server close,Support,high,shubham
SJE Plus,make new report ,Report,Low,Jagruti
SJE Plus,alloy add in book,Support,V.Urgent,jaytur
SJE Plus,tag changes issue,Support,high,gaurav
Smart Jewel,party style name not show in export,Report,Low,Jagruti
Smart Jewel,jewelry net Wight formula change,Support,high,vikas
Smart Jewel,log in issue And Report SrNo Issue,Support,V.Urgent,Heta
Smart Jewel,sales bill print issue,Report,Low,Heta
SJE Plus,recovery,Support,high,shubham
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,bag print image issue,Report,Low,Heta
Smart Jewel,meena gross Wight issue,Report,Low,Jagruti
Smart Jewel,billing type changes,Support,high,yogita
Smart Jewel,print issue ,Report,Low,Jagruti
SJE Plus,Repair Order Time Error,Support,high,yogita
SJE Plus,report changes,Report,Low,Heta
Smart Jewel,approval report changes,Report,Low,Heta
SJE Plus,order place issue,Support,high,krishna
SJE Plus,bank details add in voucher,Report,Low,Krupa
SJE Plus,print format issue,Report,Low,Jagruti
SJE Plus,report changes issue,Report,Low,Heta
SJE Plus,repair peace issue,Support,high,jaytur
SJE Plus,invoice finding Wight not show,Support,high,yogita
Smart Jewel,ask about sales purchase profit loss issue,Support,high,vipul
Smart Jewel,invoice format change issue and tax invoice issue,Report,Low,drashti
Smart Jewel,loss Wight issue ,Support,high,jaytur
Smart Jewel,bill format issue,Report,Low,drashti
Smart Jewel,software installation,Support,V.Urgent,yogita
Smart Jewel,profit and loss report issue,Support,high,prakash
SJE Plus,style master no design no issue ,Support,high,vipul
Smart Jewel,hsn cord issue,Support,V.Urgent,shubham
Smart Jewel,bag print issue as per whats app,Report,Low,Jagruti
Smart Jewel,silver simple cord issue,Support,high,ashit
SJE Plus,in report logo add babk details add,Report,Low,Heta
Smart Jewel,tag price not show ,Support,high,yogita
Smart Jewel,cost sheet issue,Support,high,krishna
Smart Jewel,software installation,Support,high,yogita
Smart Jewel,database delete,Support,high,sarika
SJE Plus,software update script ,Support,high,krishna
Smart Jewel,bag print remark issue,Report,Low,Heta
Smart Jewel,quotation issue,Report,Low,Heta
Smart Jewel,importer issue,Support,V.Urgent,krishna
Smart Jewel,ask about branch transfer ,Support,high,jaytur
Smart Jewel,approval tax not show,Support,high,Heta
SJE Plus,style master image issue,Support,high,krishna
Smart Jewel,sales bill issue,Report,Low,Jagruti
SJE Plus,diamond return book print pdf add issue,Report,Low,Heta
Smart Jewel,platinum purchase invoice gst not show ,Report,Med,drashti
Smart Jewel,fix report issue,Report,Low,Jagruti
Smart Jewel,sales quotation issue,Report,Low,drashti
Smart Jewel,tag print issue,Report,Low,drashti
Smart Jewel,5 Report changes,Report,Low,drashti
Smart Jewel,gold purity stock maintain issue ,Support,high,sarika
SJE Plus,data attach issue,Support,high,Heta
Smart Jewel,server pc software close,Support,V.Urgent,yogita
SJE Plus,style master design by add,Support,high,sarika
Smart Rest,Ledger report in sje,New Req,Med,Krupa
SJE Plus,New Report as per mail,New Req,Med,Krupa
SJE Plus,new tag have to design (inward + order ) detail for repair tag,New Req,Med,Krupa
SJE Plus,in bill without gst color stone add,Report,Med,Jagruti
Smart Jewel,diamond rate issue,Support,high,krishna
Smart Jewel,memo given issue,Support,high,krishna
Smart Jewel,in packing list net weight issue,Report,Low,Heta
SJE Plus,excel import error,Support,high,krishna
Smart Jewel,recovery issue,Support,high,krishna
Smart Jewel,diamond conversion issue,Support,high,vipul
Smart Jewel,how to create stock print ,Report,Low,Heta
Smart Jewel,bag print image issue,Report,Low,Heta
Smart Jewel,entry issue(urgent),Support,V.Urgent,shubham
SJE Plus,bag switch issue,Support,high,sarika
SJE Plus,new report make,Report,Low,drashti
SJE Plus,gst issue,Support,high,krishna
SJE Plus,software problem,Support,high,sarika
Smart Jewel,bag print issue,Report,Low,Jagruti
Smart Jewel, diamond size change issue,Support,high,sarika
Smart Jewel,rhodium department add,Support,high,sarika
Smart Jewel,metal conversion report issue,Report,Low,Jagruti
Smart Jewel,loss recovery issue,Support,high,sarika
SJE Plus,report bill page issue,Report,Low,Jagruti
Smart Jewel,bag print image issue,Report,Low,Heta
Smart Jewel,backup restore issue ,Support,V.Urgent,krishna
Smart Jewel,invoice gst issue and tag format change issue,Report,Med,Krupa
Smart Jewel,client diamond issue,Support,high,krishna
Smart Jewel,ask about product list invoice image issue,Report,Low,gaurav
Smart Jewel,bill issue(urgent),Report,Low,yogita
Smart Jewel,joy report not generate ,Report,Low,drashti
Smart Jewel,client master report issue ,Report,Low,yogita
Smart Jewel,As Per Mail Report Work,Report,Low,sarika
SJE Plus,ledger issue,Support,high,ashit
Smart Jewel,tag issue,Support,high,yogita
SJE Plus,entry edit log check,Support,high,shubham
Smart Jewel,server pc software installation,Support,high,yogita
Smart Jewel,gold entry issue,Support,high,krishna
Smart Jewel,loss recovery issue,Support,high,shubham
Smart Jewel,certificate print color change ,Report,Low,Heta
Smart Jewel,floor recovery add issue,Support,high,prakash
Smart Jewel,tag printing issue,Report,Low,yogita
SJE Plus,order details issue,Support,high,ashit
Smart Jewel,print issue,Report,Low,Heta
Smart Jewel,ask about gst add ,Support,high,shubham
SJE Plus,report changes(Call tomorrow 11:30am),Report,Low,drashti
Smart Jewel,Set Price Issue Call Tomorrow Morning At (10 PM),Support,V.Urgent,krishna
Smart Jewel,bag transfer issue,Support,high,sarika
Smart Jewel,WIP report changes,Support,high,sarika
SJE Plus,in report image error,Report,Low,Heta
SJE Plus,jewellery sale report,Support,high,Sajeda
Smart Jewel,tag print issue,Report,Low,ashit
SJE Plus,party color stone memo receive issue in reports,Report,Low,drashti
Smart Jewel,image file pdf convert issue,Support,high,Heta
SJE Plus,style master issue,Support,high,sarika
Smart Jewel,sales invoice rate issue ,Report,Low,Jagruti
SJE Plus,backup restore issue,Support,high,yogita
Smart Jewel,manufacturing report issue,Support,high,krishna
Smart Jewel,file importer issue,Support,high,krishna
